img_id,caption0,caption1,caption2,caption3,caption4
73730,A bed sitting under a window next to a chair.,The bed is made and under the window. ,An empty bed with the covers half-turned down in front of an empty window.,an unmade bed placed below a window and a tv on a book shelf,A bed with the covers folded down in front of a window.
229378,There is a robe and a towel folded on top of the bed,Blanket at a hotel wrapped up on top of the bed,A towel wrapped on top of a bed.,A robe sitting on top of a white bed next to a wall.,FOLDED ROBE TIED UP LIKE A PRESENT IN A HOTEL ROOM
131074,A purse sits at the foot of one of the large beds.,This is a bedroom with two beds and a lamp in between.,A room has two large beds in it.,A hotel room with two beds in it.,Two beds sitting inside of a hotel room next to a lamp.
311301,A man lies in bed next to a canine under a blanket.,Guy lays on bed sipping from a cup while dog curls up in front of him.,A shirtless man laying in bed with a cup of coffee.,A person drinks from a mug on a bed.,A shirtless boy drinking a beverage while lying in bed
368647,a couple of chairs and a bed in a room,A bedroom with flowery bedding a table and two chairs.,Floral designed bedroom with bed chairs and other furniture. ,a bedroom with a bed an dresser inside of it ,a bedroom with green floral wallpaper and rug 
557067,A blue patch work quilt on someones bed,A bed with hedboard topped with a colorful blue quilt.,A blue bedspread has patchwork material in squares.,A blue quilted bedspread on a small bed.,A made bed has a bread spread that is a blue quilt.
98325,A large bed with a comforter in front of a large painting.,There is a blue and white bed in a room with a blue and white wall.,A bedroom with a large blue mural on the wall by the headboard of the bed,A bed room with a white and blue quilt and several white pillows on the bed,A bedroom with a white blue and green color scheme.
417814,A mauve bedroom with white bedding on the bed,A large bed covered in a white blanket and white pillows .,A clean bedroom has white bedding and matching dressers.,A photograph of  a bedroom in a home.,A bedroom with a bed and nightstands and a multi-colored painting on the wall.
557081,Two men are playing a WII video game.,Two guys holding remotes and playing a video game.,Two people smiling and standing while playing a wii game.,A couple of men playing a game with remote controllers.,Two people in a room playing a game of Wii.
213021,A bed with green covers and a aqua green wall.,A bed head made from old doors lanterns and tulle curtains a big bed with a sheer curtain above it ,A bedroom with a bed and bedroom furniture and accessories.,a bed with big sheets in a room,
434208,A woman that is kneeling on a bed.,A women who is sitting on a pile of clothes. ,a woman sits on a bed with clothes on it ,The woman is posing on her bed with clothes. ,A girl sits on a bed with many pieces of clothes. 
434214,a man laying in bed with multiple cats on his lap,Man lying in bed with his four cats. ,A man is covered with four cats in bed.,A man laying on a bed with four cats.,a couple of cats are laying on a person
335913,A small twin bed sitting underneath a poster on a wall.,A twin bed sits in a small bedroom with simple covers.,THERE IS A BED ROOM WITH A LOT OF BOOKS ON THE SHELF,A single bedroom with many books and music CDs,a bed with a black bedspread some books a light and some pictures
548912,A little white dog laying beside a laptop on someones bed.,a white dog is laying on a bed and colored blanket,furry dog and laptop sitting on a bed,The dog is laying on the bed next to the laptop. ,A white dog laying on top of a bed next to a laptop computer.
